hashtag,minute_start,count
#PSSd…,2014-09-10 11:10:00+0100,1
#TheBachelorAU,2014-09-10 11:10:00+0100,1
#followcircle,2014-09-10 11:10:00+0100,1
#граффити,2014-09-10 11:10:00+0100,1
#twoff,2014-09-10 11:10:00+0100,1
#NominateLittleMix,2014-09-10 11:10:00+0100,1
#JihadiChaosInKashmir,2014-09-10 11:10:00+0100,1
#airporthug,2014-09-10 11:10:00+0100,1
#بنها,2014-09-10 11:10:00+0100,1
#Angelus,2014-09-10 11:10:00+0100,1
#possibility,2014-09-10 11:10:00+0100,1
#KSA,2014-09-10 11:10:00+0100,3
#سكس,2014-09-10 11:10:00+0100,1
"#DrBenCarson2016\nhttp://t.co/oDfjUCBdFW\nhttp://t.co/C5UxjC1N6T",2014-09-10 11:10:00+0100,1
"#0710\n수민시",2014-09-10 11:10:00+0100,1
#ダイエット,2014-09-10 11:10:00+0100,1
"#MGWV\n\n🔥➏🔥",2014-09-10 11:10:00+0100,1
#UnaSecaPorElLoco,2014-09-10 11:10:00+0100,1
#Irish,2014-09-10 11:10:00+0100,1
#SobatIndonesia,2014-09-10 11:10:00+0100,1
"#MMWorld,",2014-09-10 11:10:00+0100,1
#Movies,2014-09-10 11:10:00+0100,1
#diggRT,2014-09-10 11:10:00+0100,1
"#porn,#sex,#xxx,#naked,#nude,#teen,:",2014-09-10 11:10:00+0100,1
#Mobile,2014-09-10 11:10:00+0100,1
#代官山クリアーズ,2014-09-10 11:10:00+0100,1
#Kindle,2014-09-10 11:10:00+0100,1
"#غرد_بالخير\n",2014-09-10 11:10:00+0100,2
#comp,2014-09-10 11:10:00+0100,1
#london,2014-09-10 11:10:00+0100,1
#SmartJaDineDay\",2014-09-10 11:10:00+0100,1
#bikefestival,2014-09-10 11:10:00+0100,1
#Hurricane,2014-09-10 11:10:00+0100,1
#MNHIntegration,2014-09-10 11:10:00+0100,1
#getaroomboys,2014-09-10 11:10:00+0100,1
#TeamJunckerEU:,2014-09-10 11:10:00+0100,2
#ArabIdol✔➏,2014-09-10 11:10:00+0100,3
#سكس_عربي,2014-09-10 11:10:00+0100,1
#telemarketing,2014-09-10 11:10:00+0100,1
#Deventer,2014-09-10 11:10:00+0100,1
#PJNET,2014-09-10 11:10:00+0100,1
#استشهاد_قادة_أح…,2014-09-10 11:10:00+0100,1
#SCP,2014-09-10 11:10:00+0100,1
"#tuitpareja!\n\nhttp://t.co/Jf7OyQBewo",2014-09-10 11:10:00+0100,2
#Adeslas,2014-09-10 11:10:00+0100,1
#boobs,2014-09-10 11:10:00+0100,1
#Cose,2014-09-10 11:10:00+0100,1
#ViolettaLive2015,2014-09-10 11:10:00+0100,1
#71091,2014-09-10 11:10:00+0100,1
#ff_ru,2014-09-10 11:10:00+0100,2
#مصممة_ديكورات,2014-09-10 11:10:00+0100,1
#CL,2014-09-10 11:10:00+0100,1
#porn,2014-09-10 11:10:00+0100,2
#티아라#슈가프리#SUGARFREE,2014-09-10 11:10:00+0100,1
#لذكر,2014-09-10 11:10:00+0100,1
#bypokevega,2014-09-10 11:10:00+0100,1
#DATING,2014-09-10 11:10:00+0100,1
#Ecstasy,2014-09-10 11:10:00+0100,1
#nowplaying,2014-09-10 11:10:00+0100,1
"#岐阜県\n#アルバイト　#パート　#仕事探し",2014-09-10 11:10:00+0100,1
#원하는_문구를_말해줘요_성의껏_써드립니다,2014-09-10 11:10:00+0100,1
#السعودية,2014-09-10 11:10:00+0100,6
#sm24420597,2014-09-10 11:10:00+0100,1
#1,2014-09-10 11:10:00+0100,1
#MassFollowTrain✰,2014-09-10 11:10:00+0100,1
#competition,2014-09-10 11:10:00+0100,1
#3,2014-09-10 11:10:00+0100,1
#BD,2014-09-10 11:10:00+0100,1
#بريدة,2014-09-10 11:10:00+0100,1
#selfie,2014-09-10 11:10:00+0100,1
#искусство,2014-09-10 11:10:00+0100,1
#غرد_بالخير,2014-09-10 11:10:00+0100,2
#RETWEET,2014-09-10 11:10:00+0100,1
#PSSday,2014-09-10 11:10:00+0100,1
#ero,2014-09-10 11:10:00+0100,1
#DeuBranco…,2014-09-10 11:10:00+0100,1
"#فنان_تتمنى_توبته\n\nخالد",2014-09-10 11:10:00+0100,1
#ParentsIndoKuis,2014-09-10 11:10:00+0100,1
#Licking,2014-09-10 11:10:00+0100,1
#haken,2014-09-10 11:10:00+0100,1
#FF,2014-09-10 11:10:00+0100,1
#派遣,2014-09-10 11:10:00+0100,1
#Literalmente,2014-09-10 11:10:00+0100,1
#صوره,2014-09-10 11:10:00+0100,1
#SEO,2014-09-10 11:10:00+0100,1
#дома,2014-09-10 11:10:00+0100,1
#anal,2014-09-10 11:10:00+0100,1
#News,2014-09-10 11:10:00+0100,1
#BJPExposed,2014-09-10 11:10:00+0100,1
#tourism,2014-09-10 11:10:00+0100,1
"#رايف_العتيبي_المبتعثين_امانه\n\nمااشاء",2014-09-10 11:10:00+0100,1
#Скачать,2014-09-10 11:10:00+0100,1
#xxx,2014-09-10 11:10:00+0100,1
#ebook,2014-09-10 11:10:00+0100,1
#saudi,2014-09-10 11:10:00+0100,1
#東京,2014-09-10 11:10:00+0100,1
#studentlife,2014-09-10 11:10:00+0100,1
#Egypt,2014-09-10 11:10:00+0100,2
#Apple,2014-09-10 11:10:00+0100,3
#دعارة,2014-09-10 11:10:00+0100,1
#ブラックブレット,2014-09-10 11:10:00+0100,1
"#MGWV\n\n🌟★🌟#FOLLOW",2014-09-10 11:10:00+0100,1
#NP,2014-09-10 11:10:00+0100,1
#トマ美,2014-09-10 11:10:00+0100,1
#Hairwear,2014-09-10 11:10:00+0100,1
#FOLLOWBACK,2014-09-10 11:10:00+0100,1
#cute,2014-09-10 11:10:00+0100,1
#الله_أكبر,2014-09-10 11:10:00+0100,1
#Pussy,2014-09-10 11:10:00+0100,1
#MAMACITA,2014-09-10 11:10:00+0100,3
"#رايف_العتيبي_المبتعثين_امانه\n\nاشهد",2014-09-10 11:10:00+0100,8
#masturbation,2014-09-10 11:10:00+0100,1
#washitapes,2014-09-10 11:10:00+0100,1
#فندق,2014-09-10 11:10:00+0100,1
#محليات,2014-09-10 11:10:00+0100,1
#astrology,2014-09-10 11:10:00+0100,1
#Sperm,2014-09-10 11:10:00+0100,1
#iPhone6,2014-09-10 11:10:00+0100,1
#الأردن,2014-09-10 11:10:00+0100,1
#ذكر_الله,2014-09-10 11:10:00+0100,1
#countryside,2014-09-10 11:10:00+0100,1
#ILoveYouNialler!,2014-09-10 11:10:00+0100,1
#سجاد,2014-09-10 11:10:00+0100,1
#freestuff,2014-09-10 11:10:00+0100,1
#ArmyRescue…,2014-09-10 11:10:00+0100,1
#bestofetsy,2014-09-10 11:10:00+0100,1
#milf,2014-09-10 11:10:00+0100,1
#sea,2014-09-10 11:10:00+0100,1
#MadAboutAds,2014-09-10 11:10:00+0100,1
#82,2014-09-10 11:10:00+0100,1
"#FOLLOWTRICK\n\n🔥➋🔥",2014-09-10 11:10:00+0100,1
#customerexperience,2014-09-10 11:10:00+0100,1
"#عرب_هوست\n#ادعم_حسابك_معنا_بخدمة_رتويت_من_عرب_هوست_ونشره_في_تويتر",2014-09-10 11:10:00+0100,1
"#خير\n",2014-09-10 11:10:00+0100,1
#septiembre:,2014-09-10 11:10:00+0100,1
#gameinsightBR,2014-09-10 11:10:00+0100,1
#hark,2014-09-10 11:10:00+0100,1
#Vitens,2014-09-10 11:10:00+0100,1
#FireBoehner,2014-09-10 11:10:00+0100,1
#стрит_арт,2014-09-10 11:10:00+0100,1
#渋谷区,2014-09-10 11:10:00+0100,1
#SUPERJUNIOR,2014-09-10 11:10:00+0100,3
"#Karachi\nMufti",2014-09-10 11:10:00+0100,1
#Follow,2014-09-10 11:10:00+0100,1
#slowking,2014-09-10 11:10:00+0100,1
#Blowjob,2014-09-10 11:10:00+0100,1
#casino,2014-09-10 11:10:00+0100,3
#السيسى,2014-09-10 11:10:00+0100,1
#أمين,2014-09-10 11:10:00+0100,1
#أذكر_الله,2014-09-10 11:10:00+0100,1
#تطبيق_قرآنى,2014-09-10 11:10:00+0100,6
#bacon,2014-09-10 11:10:00+0100,1
#TeamFollowBack,2014-09-10 11:10:00+0100,1
#Sagitarius,2014-09-10 11:10:00+0100,1
#أسهم,2014-09-10 11:10:00+0100,1
#Temuco,2014-09-10 11:10:00+0100,1
#ابها,2014-09-10 11:10:00+0100,1
#Sex,2014-09-10 11:10:00+0100,1
#SUGARFREE,2014-09-10 11:10:00+0100,1
#فلم_سكس,2014-09-10 11:10:00+0100,3
#كلمة_دايما_يقولونها_لك,2014-09-10 11:10:00+0100,1
#parkslope,2014-09-10 11:10:00+0100,1
#求人,2014-09-10 11:10:00+0100,1
#渋谷,2014-09-10 11:10:00+0100,1
#jobs,2014-09-10 11:10:00+0100,1
#DIY,2014-09-10 11:10:00+0100,2
#keepthelove,2014-09-10 11:10:00+0100,1
#كلمه_طالعه_من_قلبك@almatjr✔➎,2014-09-10 11:10:00+0100,3
#integral,2014-09-10 11:10:00+0100,1
#ksa,2014-09-10 11:10:00+0100,1
#WorldSuicidePreventionDay,2014-09-10 11:10:00+0100,1
#p3bot,2014-09-10 11:10:00+0100,1
#gay,2014-09-10 11:10:00+0100,2
#お台場,2014-09-10 11:10:00+0100,1
#nsfw,2014-09-10 11:10:00+0100,1
#NKWA,2014-09-10 11:10:00+0100,1
#اسيا,2014-09-10 11:10:00+0100,1
#Baltimore,2014-09-10 11:10:00+0100,1
#unfalert,2014-09-10 11:10:00+0100,1
#1),2014-09-10 11:10:00+0100,1
#Website,2014-09-10 11:10:00+0100,1
#おさむらいさん,2014-09-10 11:10:00+0100,1
#NewsUpdates,2014-09-10 11:10:00+0100,2
#photo,2014-09-10 11:10:00+0100,1
#trends,2014-09-10 11:10:00+0100,1
#681team,2014-09-10 11:10:00+0100,2
#Gostei,2014-09-10 11:10:00+0100,1
#треш,2014-09-10 11:10:00+0100,1
#المدينة,2014-09-10 11:10:00+0100,1
#Ass,2014-09-10 11:10:00+0100,1
#thxSuperElja,2014-09-10 11:10:00+0100,1
#Comentário,2014-09-10 11:10:00+0100,1
"#0710\n이쁜이",2014-09-10 11:10:00+0100,1
#حب,2014-09-10 11:10:00+0100,1
#99cent,2014-09-10 11:10:00+0100,1
#Bushnell,2014-09-10 11:10:00+0100,1
#university?,2014-09-10 11:10:00+0100,1
#telemarketingleads,2014-09-10 11:10:00+0100,1
#giveaway,2014-09-10 11:10:00+0100,1
"#0710\n개여신",2014-09-10 11:10:00+0100,1
#ورعان,2014-09-10 11:10:00+0100,1
#OTDH,2014-09-10 11:10:00+0100,1
#Babe,2014-09-10 11:10:00+0100,1
#larcenciel,2014-09-10 11:10:00+0100,1
#yawn,2014-09-10 11:10:00+0100,1
#games,2014-09-10 11:10:00+0100,1
#DalalMedia,2014-09-10 11:10:00+0100,1
#Jobs,2014-09-10 11:10:00+0100,1
"#الامارات\n…",2014-09-10 11:10:00+0100,2
#USAHeadlines,2014-09-10 11:10:00+0100,2
#NominateFifthHarmony,2014-09-10 11:10:00+0100,1
#NominateFifthHarmony\",2014-09-10 11:10:00+0100,1
"#immigration,",2014-09-10 11:10:00+0100,1
#AFL360,2014-09-10 11:10:00+0100,1
#sm24438106,2014-09-10 11:10:00+0100,1
#CharmingWednesday,2014-09-10 11:10:00+0100,1
#news,2014-09-10 11:10:00+0100,1
#ぱすぽ,2014-09-10 11:10:00+0100,1
#NominateLadyGaga,2014-09-10 11:10:00+0100,2
#leadgeneration,2014-09-10 11:10:00+0100,1
#الجوف,2014-09-10 11:10:00+0100,1
#الدمام,2014-09-10 11:10:00+0100,1
#اوكسجين,2014-09-10 11:10:00+0100,1
#twimaker,2014-09-10 11:10:00+0100,1
#cp05,2014-09-10 11:10:00+0100,1
"#video,#butt,#xxx,#free,#sex,",2014-09-10 11:10:00+0100,1
#FREE,2014-09-10 11:10:00+0100,1
#كنز_المسلم,2014-09-10 11:10:00+0100,3
#AlamNa,2014-09-10 11:10:00+0100,1
#CreditScore,2014-09-10 11:10:00+0100,1
"#المعتقلين\nانظروهم",2014-09-10 11:10:00+0100,1
"#androidgames,",2014-09-10 11:10:00+0100,4
#MTVEMA,2014-09-10 11:10:00+0100,4
#TearRubber_by_YQ\",2014-09-10 11:10:00+0100,1
#indyref,2014-09-10 11:10:00+0100,1
#القفاري,2014-09-10 11:10:00+0100,1
#رايف_العتيبي_المبتعثين_امانه,2014-09-10 11:10:00+0100,1
#TerongTerongan,2014-09-10 11:10:00+0100,1
